Student_Name,Gender,Date_of_birth,Age,Father's_name,Mother's_name,Guardian's_name,Orphan,no_of_siblings,Adhaar_No,Address,state,PinCode,Mobile_Number,Contact_email_id,mother_tongue,social_category,minority_group,bpl_beneficiary,ews_group,cwsn,pwd,indian_nationality,out_of_school_child,dropped_continued,contact_no,aadhar_no,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,debt,family_annual_income,no_of_children,academic_stream,status_in_previous_year,appreared_previous_exam,results_in_previous_year_type,mental_issues,drug_addiction ,label
Jay Hale,0,21-07-2008,19,Mr.Hale,Mrs.Hale,-,0,2,9.73E+11,,31,598772,7964917089,Jay.Hale@87.com,0,1,5,1,1,0,1,1,0,1,7796177035,1.66E+11,0,3,1,0,1,1,3,2,3,0,2,0,0,8
Jay Klein,0,19-02-2005,17,Mr.Klein,Mrs.Klein,-,0,2,4.98E+11,,2,936155,8348371541,Jay.Klein@27.com,1,4,4,0,0,0,0,1,0,0,9662109157,7.84E+11,0,1,1,0,0,2,3,4,5,1,2,1,1,4
Jayden French,1,21-05-2006,20,Mr.French,Mrs.French,-,0,1,8.66E+11,,33,338967,9906245332,Jayden.French@27.com,0,4,1,0,1,1,1,1,0,1,8690654267,9.15E+11,4,2,1,0,1,0,2,2,1,1,3,0,1,7
Jayden Reeves,1,02-06-2003,14,Mr.Reeves,Mrs.Reeves,-,0,1,4.24E+11,,2,568491,9266216011,Jayden.Reeves@32.com,0,3,4,0,1,1,0,1,0,1,8169281829,3.12E+11,1,4,1,1,1,0,2,2,1,1,3,1,1,9
Jayden Russell,0,07-07-2008,15,Mr.Russell,Mrs.Russell,-,0,1,2.63E+11,,9,839914,8687159915,Jayden.Russell@75.com,0,2,6,0,1,0,0,1,0,1,8168441734,7.06E+11,2,0,1,0,0,0,2,3,4,1,2,1,0,8
Jean Brock,1,02-11-2004,15,Mr.Brock,Mrs.Brock,-,0,1,3.88E+11,,5,319278,9451625559,Jean.Brock@43.com,1,3,5,1,1,1,0,1,0,1,9356257052,1.75E+11,4,0,0,1,1,1,2,1,5,0,1,0,1,8
Jean Hughes,0,31-10-2004,20,Mr.Hughes,Mrs.Hughes,-,0,1,8.68E+11,,26,934942,8059672305,Jean.Hughes@20.com,0,3,3,1,1,1,0,1,1,1,8952118496,8.70E+11,0,1,0,0,1,2,2,1,3,0,2,1,1,8
Jeanette Hernandez,1,02-11-2007,21,Mr.Hernandez,Mrs.Hernandez,-,1,1,5.83E+11,,9,460818,8994395943,Jeanette.Hernandez@30.com,1,4,1,1,0,0,1,1,0,0,8166945593,2.67E+11,3,3,1,1,0,2,2,5,4,0,1,1,1,6
Jeanette Ortiz,1,12-03-2000,20,Mr.Ortiz,Mrs.Ortiz,-,0,1,6.44E+11,,29,888336,8344193753,Jeanette.Ortiz@67.com,0,2,4,0,1,0,1,1,1,1,9025923647,1.31E+11,5,0,1,1,0,1,2,3,1,0,2,1,0,7
Jeff Foster,0,13-12-2001,20,Mr.Foster,Mrs.Foster,-,0,2,7.40E+11,,2,983848,8981712858,Jeff.Foster@16.com,0,4,3,1,0,1,0,1,1,0,8107185715,9.46E+11,4,4,0,1,0,1,3,5,4,1,3,0,0,5
Jeff Johnson,1,26-07-2001,17,Mr.Johnson,Mrs.Johnson,-,0,1,4.68E+11,,15,526962,8889761304,Jeff.Johnson@15.com,1,2,5,1,0,0,0,1,1,1,8740106048,1.33E+11,1,2,1,1,0,1,2,3,3,1,3,1,1,7
Jeff McCoy,0,29-05-2003,15,Mr.McCoy,Mrs.McCoy,-,0,1,2.39E+11,,28,558556,8290944701,Jeff.McCoy@88.com,1,3,5,0,1,0,0,1,0,0,8377407597,7.74E+11,2,4,0,1,0,2,2,4,4,1,4,0,0,5
Jeffrey Manning,0,14-07-2002,16,Mr.Manning,Mrs.Manning,-,0,2,9.45E+11,,13,622516,9177323478,Jeffrey.Manning@28.com,1,4,6,1,0,0,0,1,0,0,9201156993,4.07E+11,3,5,1,1,0,1,3,5,1,0,4,0,0,3
Jennie Shaw,0,04-07-2006,20,Mr.Shaw,Mrs.Shaw,-,1,2,2.62E+11,,28,248580,9900593594,Jennie.Shaw@4.com,0,3,1,0,1,0,1,1,0,0,9203174245,3.28E+11,1,2,1,0,1,2,3,1,2,1,1,0,1,5
Jeremiah Cook,0,26-11-2006,14,Mr.Cook,Mrs.Cook,-,0,2,8.55E+11,,30,166774,9913979612,Jeremiah.Cook@73.com,0,3,3,0,0,1,0,1,0,0,8766486121,9.21E+11,5,1,0,0,1,1,3,2,1,1,2,0,0,4
Jeremiah Ortega,1,26-09-2007,14,Mr.Ortega,Mrs.Ortega,-,0,2,5.00E+11,,15,850175,9968396910,Jeremiah.Ortega@79.com,0,4,1,1,1,1,1,1,1,1,7937014954,3.99E+11,1,2,0,1,1,1,3,3,1,0,2,1,0,8
Jeremy Owens,1,19-08-2005,15,Mr.Owens,Mrs.Owens,-,0,1,2.50E+11,,27,123723,8234495234,Jeremy.Owens@93.com,0,3,5,1,0,0,0,1,1,0,9131840866,6.78E+11,1,1,1,0,0,0,2,5,5,1,4,0,1,5
Jerome Castro,0,31-07-2005,20,Mr.Castro,Mrs.Castro,-,1,2,5.51E+11,,2,285555,8562716857,Jerome.Castro@70.com,0,2,7,1,1,1,0,1,0,1,7807752453,6.35E+11,3,1,0,1,1,1,3,1,2,1,1,1,0,7
Jerome Lawson,0,23-06-2005,21,Mr.Lawson,Mrs.Lawson,-,1,1,1.85E+11,,23,760320,8569456675,Jerome.Lawson@46.com,0,2,3,1,0,0,1,1,0,1,9973464790,9.28E+11,5,5,1,1,1,0,2,1,2,1,4,1,0,7
Jerome Ortiz,1,25-09-2002,19,Mr.Ortiz,Mrs.Ortiz,-,0,1,4.79E+11,,18,812786,9974503707,Jerome.Ortiz@85.com,0,4,3,0,0,0,1,1,0,0,9703255454,9.13E+11,1,2,1,0,0,0,2,4,4,1,3,1,0,5
Jerome Reyes,0,30-05-2007,17,Mr.Reyes,Mrs.Reyes,-,0,2,9.56E+11,,5,850099,9838423225,Jerome.Reyes@98.com,1,3,6,1,1,1,1,1,1,0,9546535113,4.83E+11,2,2,0,0,0,2,3,5,5,0,2,0,0,5
Jerry Cortez,1,02-11-2003,17,Mr.Cortez,Mrs.Cortez,-,0,2,1.83E+11,,23,779555,8244848096,Jerry.Cortez@57.com,1,3,4,0,1,0,0,1,0,0,9865710798,3.50E+11,0,2,0,0,0,1,3,5,5,0,2,0,1,4
Jerry Figueroa,1,21-09-2006,20,Mr.Figueroa,Mrs.Figueroa,-,1,2,1.62E+11,,5,356115,8508550451,Jerry.Figueroa@61.com,0,4,4,0,0,1,0,1,0,0,9576755365,9.79E+11,4,5,1,0,1,1,3,4,4,1,1,0,0,4
Jerry Love,0,03-09-2007,17,Mr.Love,Mrs.Love,-,0,1,8.65E+11,,11,224625,9936987625,Jerry.Love@89.com,1,3,2,1,0,1,1,1,0,1,7944066475,9.34E+11,3,2,1,0,1,2,2,4,3,0,3,1,0,7
Jesse Cobb,0,01-11-2002,14,Mr.Cobb,Mrs.Cobb,-,0,1,1.25E+11,,22,424379,8886288261,Jesse.Cobb@60.com,0,2,6,1,1,1,1,1,1,0,8333340838,8.66E+11,2,2,0,0,0,2,2,4,1,1,4,1,0,5
Jesse Henderson,0,10-06-2004,15,Mr.Henderson,Mrs.Henderson,-,0,2,9.64E+11,,7,368437,9926959947,Jesse.Henderson@74.com,1,4,7,0,1,1,0,1,0,0,8665514262,5.28E+11,5,3,1,0,0,1,3,1,3,0,3,0,1,4
Jesse Lane,0,17-08-2005,19,Mr.Lane,Mrs.Lane,-,0,2,1.70E+11,,18,906872,8867403927,Jesse.Lane@67.com,1,3,6,0,1,0,0,1,0,0,9205072101,3.99E+11,2,5,0,1,0,1,3,3,4,1,2,0,1,5
Jesse Logan,1,17-07-2003,21,Mr.Logan,Mrs.Logan,-,0,2,5.38E+11,,26,829675,8283993635,Jesse.Logan@27.com,0,3,3,0,1,1,1,1,0,1,8281835163,4.27E+11,5,0,1,0,1,2,3,4,1,0,2,0,0,7
Jessie Neal,1,04-05-2005,17,Mr.Neal,Mrs.Neal,-,0,2,8.68E+11,,19,560232,9490083149,Jessie.Neal@49.com,0,3,2,1,1,0,1,1,0,0,9495172230,8.28E+11,4,4,0,1,0,1,3,3,2,0,4,0,1,4
Jessie Rose,1,30-03-2007,17,Mr.Rose,Mrs.Rose,-,0,1,2.14E+11,,4,946166,8117223112,Jessie.Rose@55.com,1,3,3,1,1,0,1,1,0,0,9943606107,1.75E+11,5,5,1,0,1,0,2,4,3,1,4,0,1,6
Jessie Soto,0,21-01-2003,18,Mr.Soto,Mrs.Soto,-,0,2,8.53E+11,,19,477696,9394387794,Jessie.Soto@14.com,1,2,3,1,0,0,0,1,1,0,9396538456,5.70E+11,1,1,1,1,1,0,3,1,1,0,1,0,0,6
Jesus McKinney,0,09-10-2003,14,Mr.McKinney,Mrs.McKinney,-,1,1,4.41E+11,,10,901741,9071162780,Jesus.McKinney@3.com,0,3,6,0,0,1,1,1,0,1,8816854499,8.58E+11,0,5,1,0,1,0,2,3,4,1,1,0,1,7
Jesus Mitchell,1,20-10-2003,17,Mr.Mitchell,Mrs.Mitchell,-,0,2,2.50E+11,,23,500288,9545236479,Jesus.Mitchell@16.com,1,2,4,1,1,1,0,1,1,1,8687671668,3.90E+11,4,2,1,0,1,2,3,4,5,0,3,0,0,7
Jesus Snyder,0,19-03-2006,20,Mr.Snyder,Mrs.Snyder,-,0,1,3.94E+11,,12,626296,9985053876,Jesus.Snyder@6.com,0,2,4,1,1,0,1,1,0,1,9734227032,5.35E+11,2,0,1,0,0,1,2,3,2,0,2,1,0,7
Jim Conner,1,15-09-2005,20,Mr.Conner,Mrs.Conner,-,0,1,3.35E+11,,6,180612,9327493886,Jim.Conner@21.com,1,4,3,0,0,1,0,1,0,1,8673107885,8.05E+11,2,1,1,1,1,0,2,2,4,1,1,1,1,7
Jim Lawrence,1,15-07-2001,19,Mr.Lawrence,Mrs.Lawrence,-,0,1,7.89E+11,,3,818702,9540787801,Jim.Lawrence@23.com,0,1,6,0,0,0,1,1,1,0,8318974471,1.51E+11,3,3,1,0,1,2,2,3,3,0,2,1,0,5
Jim Moran,1,10-06-2000,20,Mr.Moran,Mrs.Moran,-,0,2,6.21E+11,,30,992584,8518707725,Jim.Moran@27.com,1,4,2,1,1,0,0,1,0,0,8831047691,9.45E+11,5,5,1,0,0,1,3,2,2,1,1,1,0,4
Jim Watkins,0,20-03-2007,21,Mr.Watkins,Mrs.Watkins,-,0,1,8.62E+11,,9,463122,9939873190,Jim.Watkins@95.com,1,3,7,1,0,1,0,1,1,1,8111520048,4.36E+11,0,3,1,1,1,1,2,4,2,0,4,0,0,7
Jimmy Hammond,1,26-09-2001,18,Mr.Hammond,Mrs.Hammond,-,0,1,1.69E+11,,17,671607,9092470441,Jimmy.Hammond@87.com,0,1,1,0,1,1,0,1,0,0,8888484665,7.11E+11,3,1,0,0,1,1,2,2,5,0,4,1,0,6
Jimmy Myers,0,20-04-2007,21,Mr.Myers,Mrs.Myers,-,0,2,9.90E+11,,29,737655,9402483988,Jimmy.Myers@10.com,1,3,2,1,0,0,1,1,0,0,8854053026,4.45E+11,3,2,1,0,0,2,3,5,3,1,3,1,0,5
Joe Higgins,0,02-04-2008,18,Mr.Higgins,Mrs.Higgins,-,1,2,5.34E+11,,29,735784,9742970902,Joe.Higgins@41.com,1,2,5,1,0,1,0,1,0,1,8907339546,7.78E+11,3,2,0,1,0,0,3,4,4,0,3,0,1,8
Joe Vargas,1,16-12-2007,17,Mr.Vargas,Mrs.Vargas,-,1,2,2.26E+11,,8,910587,9069707182,Joe.Vargas@49.com,0,3,2,1,1,0,1,1,1,0,8761054186,5.51E+11,5,2,1,0,0,0,3,3,4,1,4,0,0,6
Johanna Lane,1,17-10-2006,15,Mr.Lane,Mrs.Lane,-,0,2,7.81E+11,,17,852797,7923438301,Johanna.Lane@84.com,0,2,5,1,0,0,0,1,1,0,9311093763,7.07E+11,3,4,0,0,1,2,3,1,5,1,3,1,0,6
Jon Hampton,1,07-12-2008,20,Mr.Hampton,Mrs.Hampton,-,0,1,4.46E+11,,19,247308,9080452779,Jon.Hampton@48.com,1,3,6,0,1,0,0,1,1,0,8425786759,6.32E+11,2,4,1,1,1,1,2,1,1,1,1,1,0,6
Jonathan Chavez,0,11-06-2001,20,Mr.Chavez,Mrs.Chavez,-,1,2,7.66E+11,,16,821637,9789196659,Jonathan.Chavez@49.com,1,4,1,0,0,0,1,1,0,0,8188727868,8.89E+11,0,0,0,0,0,1,3,3,5,0,4,0,1,3
Jordan Hart,1,29-05-2002,14,Mr.Hart,Mrs.Hart,-,1,2,6.77E+11,,19,687362,9533013212,Jordan.Hart@11.com,0,3,4,1,0,0,0,1,1,1,8955487860,2.34E+11,3,2,1,1,0,0,3,1,4,0,1,1,0,7
Jordan Holt,1,05-09-2003,18,Mr.Holt,Mrs.Holt,-,0,2,6.04E+11,,12,145401,9607118513,Jordan.Holt@98.com,1,3,2,1,1,0,0,1,0,0,9961372386,6.64E+11,1,3,0,0,1,2,3,4,3,1,2,1,0,6
Jorge Diaz,0,14-09-2006,20,Mr.Diaz,Mrs.Diaz,-,0,2,4.33E+11,,20,465071,8497500026,Jorge.Diaz@70.com,0,3,2,0,1,1,0,1,1,1,9719143055,9.82E+11,5,0,1,0,1,1,3,2,5,1,4,1,1,7
Jorge Garcia,1,03-09-2004,16,Mr.Garcia,Mrs.Garcia,-,0,2,9.41E+11,,11,773429,9404835771,Jorge.Garcia@99.com,0,1,5,1,1,0,0,1,1,1,7901624963,3.72E+11,0,4,0,0,1,1,3,1,4,0,3,0,0,8
Jorge Gross,0,01-09-2007,15,Mr.Gross,Mrs.Gross,-,0,1,9.37E+11,,25,766011,9190257654,Jorge.Gross@60.com,0,3,6,0,1,1,0,1,1,1,9216123632,1.23E+11,2,2,1,1,1,0,2,1,2,0,4,0,1,7
Jorge Ruiz,1,24-11-2003,14,Mr.Ruiz,Mrs.Ruiz,-,0,1,2.35E+11,,7,450098,9387307098,Jorge.Ruiz@41.com,0,3,7,1,1,0,0,1,0,0,8960938611,4.16E+11,1,5,1,0,0,2,2,3,1,1,3,1,0,6
Jorge Singleton,1,31-07-2001,14,Mr.Singleton,Mrs.Singleton,-,1,1,5.48E+11,,14,554152,9027171785,Jorge.Singleton@75.com,0,2,3,1,1,0,0,1,1,1,8273370522,3.35E+11,0,4,1,1,0,2,2,4,5,1,3,0,0,7
Jose Day,1,27-10-2000,17,Mr.Day,Mrs.Day,-,1,1,3.26E+11,,31,321750,9704364610,Jose.Day@63.com,0,1,3,1,1,0,0,1,1,1,8270948251,6.05E+11,5,1,1,1,1,1,2,5,2,1,2,0,0,7
Jose Dunn,0,14-07-2001,16,Mr.Dunn,Mrs.Dunn,-,0,1,3.28E+11,,31,503633,9246580069,Jose.Dunn@62.com,1,3,3,1,1,0,1,1,0,1,8940804357,2.69E+11,4,0,1,1,1,0,2,2,2,1,2,1,0,10
Jose Gibbs,0,01-10-2006,19,Mr.Gibbs,Mrs.Gibbs,-,1,1,7.88E+11,,19,245529,8748956094,Jose.Gibbs@39.com,1,2,4,0,0,0,0,1,0,1,9070028093,5.00E+11,0,0,1,0,1,1,2,2,4,0,1,1,1,7
Jose Lawrence,1,21-11-2004,15,Mr.Lawrence,Mrs.Lawrence,-,0,2,4.25E+11,,1,615967,7931565066,Jose.Lawrence@19.com,1,3,2,0,1,1,0,1,1,0,9612649176,3.71E+11,1,5,0,0,0,0,3,2,3,0,3,0,1,5
Jose Shelton,1,29-04-2008,17,Mr.Shelton,Mrs.Shelton,-,0,2,4.06E+11,,30,295845,9352735784,Jose.Shelton@33.com,0,1,1,0,0,1,0,1,1,0,8786984517,3.50E+11,1,4,0,0,0,2,3,4,5,0,3,1,0,5
Joseph Love,0,17-12-2003,18,Mr.Love,Mrs.Love,-,1,2,6.91E+11,,22,369727,9675577870,Joseph.Love@76.com,1,1,5,1,0,1,1,1,0,0,8013409131,6.37E+11,5,2,0,0,0,0,3,5,1,0,4,1,0,6
Joseph Perez,0,13-05-2006,17,Mr.Perez,Mrs.Perez,-,0,2,8.14E+11,,33,526572,9108948014,Joseph.Perez@80.com,1,1,3,1,0,0,0,1,0,0,9633428275,3.65E+11,1,5,1,1,0,0,3,3,5,1,2,0,0,6
Joseph Wise,1,08-04-2003,15,Mr.Wise,Mrs.Wise,-,1,2,9.38E+11,,1,254346,8024683289,Joseph.Wise@31.com,1,4,1,1,1,1,0,1,0,1,8909753157,7.03E+11,4,2,1,0,0,2,3,3,2,1,2,1,1,7
Josephine Alexander,0,03-07-2005,16,Mr.Alexander,Mrs.Alexander,-,0,2,9.89E+11,,13,384701,8934635694,Josephine.Alexander@37.com,1,2,7,0,1,0,0,1,1,1,7838032877,7.76E+11,2,2,1,1,0,0,3,4,4,1,2,1,1,8
Josephine Cannon,1,12-03-2006,19,Mr.Cannon,Mrs.Cannon,-,1,1,3.16E+11,,4,304309,8151274637,Josephine.Cannon@98.com,0,2,7,0,0,0,1,1,1,0,9325572964,8.29E+11,1,3,1,1,0,1,2,1,4,1,2,1,1,6
Josephine Hill,1,26-08-2008,18,Mr.Hill,Mrs.Hill,-,0,1,4.81E+11,,33,896012,8151152365,Josephine.Hill@81.com,0,1,1,0,1,0,1,1,1,0,9601751753,6.82E+11,3,2,0,0,0,2,2,4,2,1,2,0,1,4
Josephine Howell,0,05-08-2006,19,Mr.Howell,Mrs.Howell,-,0,2,4.60E+11,,9,365796,9904068080,Josephine.Howell@99.com,1,4,5,1,1,0,1,1,1,0,8652627911,8.46E+11,5,1,1,1,0,0,3,5,1,1,1,0,1,6
Josephine Willis,1,06-06-2007,21,Mr.Willis,Mrs.Willis,-,0,1,7.75E+11,,33,592339,8670097881,Josephine.Willis@42.com,1,3,7,0,0,1,1,1,0,0,9000018990,1.40E+11,4,0,0,1,0,0,2,1,3,1,2,0,1,6
Joshua Buchanan,1,21-07-2004,19,Mr.Buchanan,Mrs.Buchanan,-,1,2,5.87E+11,,29,455425,9241813017,Joshua.Buchanan@80.com,1,4,2,1,1,1,0,1,1,0,8792728535,5.46E+11,1,4,0,1,0,1,3,3,4,0,3,0,0,6
Joshua Dawson,0,19-01-2003,18,Mr.Dawson,Mrs.Dawson,-,0,2,9.73E+11,,12,762960,8101080098,Joshua.Dawson@31.com,0,2,5,0,1,1,1,1,0,1,9588729851,6.35E+11,3,0,1,0,1,0,3,4,5,0,4,1,0,9
Joshua Watts,0,05-02-2004,18,Mr.Watts,Mrs.Watts,-,0,1,7.94E+11,,13,217933,9876860703,Joshua.Watts@56.com,0,2,6,0,0,0,1,1,1,0,9525538656,6.35E+11,3,4,1,0,0,2,2,5,5,1,3,0,1,3
Josie Gardner,0,01-09-2008,20,Mr.Gardner,Mrs.Gardner,-,0,2,8.63E+11,,12,309858,8451692892,Josie.Gardner@70.com,0,1,5,1,0,0,1,1,1,0,8602831111,5.66E+11,3,1,0,0,0,1,3,1,5,1,3,0,0,4
Josie Gonzalez,1,26-01-2006,18,Mr.Gonzalez,Mrs.Gonzalez,-,1,2,1.84E+11,,6,789147,9492109708,Josie.Gonzalez@42.com,0,4,5,0,0,1,1,1,0,0,7834156484,3.78E+11,5,2,1,1,1,1,3,5,1,0,4,1,1,6
Josie Graves,1,02-01-2008,17,Mr.Graves,Mrs.Graves,-,0,2,7.74E+11,,13,157832,8084843139,Josie.Graves@89.com,0,2,1,1,1,1,0,1,1,1,9399597516,7.38E+11,3,2,0,0,1,0,3,5,4,0,2,1,1,10
Juan Ramirez,0,10-01-2006,19,Mr.Ramirez,Mrs.Ramirez,-,0,1,6.19E+11,,21,191536,9225977327,Juan.Ramirez@17.com,1,1,5,0,1,1,0,1,0,1,9527644546,7.93E+11,5,1,0,1,0,0,2,3,1,0,3,0,0,7
Julia Caldwell,1,25-10-2007,16,Mr.Caldwell,Mrs.Caldwell,-,0,2,9.19E+11,,2,274876,9284850498,Julia.Caldwell@15.com,0,4,1,0,0,0,0,1,1,0,9368910327,8.33E+11,3,4,1,0,1,2,3,1,4,1,3,1,1,6
Julia Jackson,0,19-09-2006,19,Mr.Jackson,Mrs.Jackson,-,0,1,5.00E+11,,29,503512,8521408478,Julia.Jackson@68.com,1,1,7,1,0,0,1,1,0,0,8410427782,1.31E+11,3,3,0,0,1,2,2,1,4,1,4,0,1,4
Julia Phillips,0,04-08-2001,18,Mr.Phillips,Mrs.Phillips,-,0,2,4.99E+11,,28,702312,8413741365,Julia.Phillips@81.com,0,3,6,1,1,0,1,1,0,0,9898368251,2.53E+11,1,5,1,1,1,1,3,4,3,0,1,0,0,6
Julia Ray,1,11-09-2001,20,Mr.Ray,Mrs.Ray,-,0,2,9.55E+11,,10,680609,9717724472,Julia.Ray@46.com,1,1,2,0,1,1,0,1,0,1,8454716683,4.90E+11,5,1,1,1,1,1,3,1,2,0,3,0,0,7
Julian Benson,0,13-10-2002,15,Mr.Benson,Mrs.Benson,-,0,2,4.05E+11,,3,287106,8166429858,Julian.Benson@35.com,0,1,2,0,0,1,1,1,1,0,9053741705,2.86E+11,2,1,0,1,0,0,3,2,2,0,3,1,0,6
Julian Frazier,1,11-11-2002,16,Mr.Frazier,Mrs.Frazier,-,0,1,1.44E+11,,11,421766,8607587625,Julian.Frazier@97.com,1,4,7,0,0,0,0,1,0,0,8126986774,6.70E+11,4,3,1,1,0,1,2,4,5,1,4,0,0,2
Julian Horton,0,09-03-2004,14,Mr.Horton,Mrs.Horton,-,0,1,3.45E+11,,27,662503,9846302587,Julian.Horton@4.com,1,2,4,0,0,0,1,1,0,0,8917299748,2.34E+11,4,4,1,1,1,0,2,4,3,0,1,0,1,5
Julian Sanchez,1,21-10-2006,16,Mr.Sanchez,Mrs.Sanchez,-,1,1,6.30E+11,,22,680415,8466157029,Julian.Sanchez@9.com,1,3,7,0,0,1,0,1,1,0,8153140255,6.92E+11,2,0,0,1,0,0,2,1,3,0,1,1,1,6
Kate Black,0,07-06-2008,19,Mr.Black,Mrs.Black,-,0,2,1.72E+11,,10,952443,9792990339,Kate.Black@39.com,0,1,1,1,0,0,1,1,0,0,8888119215,7.17E+11,5,3,1,0,0,2,3,4,4,0,1,1,0,6
Kate Craig,1,01-09-2001,20,Mr.Craig,Mrs.Craig,-,0,2,7.98E+11,,12,923106,9867663870,Kate.Craig@39.com,1,1,2,0,1,1,1,1,1,1,9286320569,5.18E+11,4,3,1,0,1,1,3,4,4,1,4,1,1,7
Kate Guerrero,0,17-02-2006,14,Mr.Guerrero,Mrs.Guerrero,-,0,2,7.53E+11,,33,542099,7826215919,Kate.Guerrero@49.com,1,4,3,1,1,0,1,1,0,0,7927911097,4.67E+11,4,4,1,0,1,0,3,5,1,0,4,0,1,5
Katharine Byrd,0,11-12-2006,17,Mr.Byrd,Mrs.Byrd,-,0,1,2.50E+11,,12,212410,7997345215,Katharine.Byrd@81.com,1,2,1,1,1,1,1,1,0,1,7863758330,4.04E+11,1,0,1,1,0,0,2,1,2,1,1,0,1,9
Katharine Mason,1,12-01-2001,16,Mr.Mason,Mrs.Mason,-,0,1,6.43E+11,,10,492688,8249329779,Katharine.Mason@86.com,0,2,7,0,1,0,1,1,1,0,9783948571,3.39E+11,3,3,1,0,0,0,2,4,2,0,4,0,1,4
Katherine Brock,0,03-10-2008,21,Mr.Brock,Mrs.Brock,-,0,2,9.86E+11,,20,935249,9517634095,Katherine.Brock@49.com,0,3,7,0,1,0,1,1,0,0,8880970928,5.77E+11,1,2,0,0,0,0,3,3,2,0,2,0,0,4
Katherine Lawson,0,12-03-2003,17,Mr.Lawson,Mrs.Lawson,-,1,1,4.32E+11,,17,228859,9266212726,Katherine.Lawson@54.com,1,2,2,1,0,1,1,1,0,0,8278414906,1.30E+11,1,2,1,0,0,1,2,5,1,0,1,0,0,4
Kathryn Davis,1,22-11-2007,17,Mr.Davis,Mrs.Davis,-,1,1,9.15E+11,,13,714974,9042915652,Kathryn.Davis@4.com,0,3,6,1,0,0,1,1,0,1,9617648986,9.43E+11,0,1,0,1,1,2,2,4,4,1,3,0,1,7
Kathryn Mullins,1,13-02-2005,18,Mr.Mullins,Mrs.Mullins,-,0,2,2.16E+11,,24,672831,8878638254,Kathryn.Mullins@43.com,0,4,1,0,0,0,0,1,0,1,8052246130,1.98E+11,1,3,1,1,1,1,3,1,4,1,2,1,0,7
Kathryn Woods,1,01-04-2001,17,Mr.Woods,Mrs.Woods,-,0,1,5.55E+11,,23,951534,9582382615,Kathryn.Woods@3.com,1,2,2,0,1,0,1,1,0,0,8587785803,5.77E+11,1,3,1,1,0,1,2,4,3,0,3,1,1,6
Keith Andrews,0,06-11-2001,16,Mr.Andrews,Mrs.Andrews,-,0,2,4.75E+11,,26,625159,8755676718,Keith.Andrews@73.com,0,2,6,0,1,1,1,1,0,0,8512932019,4.28E+11,4,3,0,0,1,0,3,3,3,1,4,1,1,6
Kevin Evans,1,16-05-2007,15,Mr.Evans,Mrs.Evans,-,1,1,5.10E+11,,21,870045,9792317899,Kevin.Evans@32.com,1,1,6,1,0,0,1,1,0,0,8804345831,1.39E+11,4,5,0,1,0,1,2,4,3,1,1,0,0,3
Kevin Fowler,1,22-11-2002,18,Mr.Fowler,Mrs.Fowler,-,0,1,7.41E+11,,33,495845,9322508013,Kevin.Fowler@75.com,0,4,6,1,1,0,0,1,1,1,9016104816,4.84E+11,0,4,1,1,1,2,2,2,3,1,2,0,0,7
Kevin Morgan,1,04-06-2003,15,Mr.Morgan,Mrs.Morgan,-,0,1,9.69E+11,,23,279180,7827856168,Kevin.Morgan@85.com,0,3,1,0,1,0,0,1,0,1,8183617347,1.25E+11,0,2,0,1,0,2,2,5,4,1,1,1,1,7
Kevin Vega,1,03-07-2006,14,Mr.Vega,Mrs.Vega,-,1,2,2.61E+11,,2,194312,9891377210,Kevin.Vega@83.com,0,2,4,0,0,0,1,1,1,0,8734470537,1.61E+11,2,0,1,1,1,1,3,4,3,0,4,0,1,5
Kyle George,0,14-09-2001,14,Mr.George,Mrs.George,-,0,1,8.45E+11,,4,260199,9380576660,Kyle.George@48.com,0,3,5,0,0,0,0,1,1,0,9705321284,7.18E+11,5,1,1,0,1,0,2,5,3,0,1,1,0,6
Kyle Goodwin,0,17-03-2008,16,Mr.Goodwin,Mrs.Goodwin,-,1,1,1.32E+11,,16,274193,8130932746,Kyle.Goodwin@2.com,1,1,4,1,1,1,1,1,1,1,8604958553,6.93E+11,4,4,0,0,1,2,2,1,4,1,2,0,1,7
Kyle Jackson,1,29-01-2005,19,Mr.Jackson,Mrs.Jackson,-,0,1,8.67E+11,,1,219243,9380853613,Kyle.Jackson@47.com,0,1,7,0,1,1,0,1,1,0,9120815423,8.62E+11,4,2,0,0,1,2,2,3,3,1,1,0,1,4
Kyle Murphy,0,08-12-2003,16,Mr.Murphy,Mrs.Murphy,-,0,1,9.99E+11,,22,382956,7988446663,Kyle.Murphy@77.com,1,4,6,1,1,1,0,1,1,0,8600821034,5.70E+11,4,3,1,0,0,1,2,2,3,1,1,0,1,4
Landon Aguilar,1,12-01-2004,19,Mr.Aguilar,Mrs.Aguilar,-,0,2,4.82E+11,,19,869673,9727266269,Landon.Aguilar@95.com,1,2,3,0,0,0,0,1,1,0,8305083562,8.10E+11,5,1,1,1,0,2,3,2,2,1,1,1,1,4
Landon Berry,1,08-12-2002,16,Mr.Berry,Mrs.Berry,-,1,1,3.70E+11,,31,229768,8268209626,Landon.Berry@91.com,1,1,6,1,0,0,0,1,1,0,9789479025,1.14E+11,4,3,0,0,0,1,2,1,3,0,2,0,1,3
